STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,Fair Value Estimate Lot,BARANGAY
CIOCON ROAD,MABINI ST. TO INTERIOR,RR,15600,
GONZAGA ST,MABINI ST. TO LOPEZ JAENA ST.,RR,15600,
LOPEZ JAENA ST,GONZAGA ST. TO RIZAL ST.,RR,15600,BARANGAY: 26
,,CR,39000,
MABINI ST,GONZAGA ST. TO RIZAL ST.,RR,24700,
,,CR,36400,
RIZAL ST,MABINI ST TO HILADO ST,RR,18850,
,HILADO ST. TO LOPEZ JAENA ST.,RR,17550,
ALL OTHER STREETS,,RR,15600,
,,CR,39000,
GALO ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
GONZAGA ST,LOPEZ JAENA ST. TO LUPIT RIVER(PREVIOUSLY GONZAGA ST. TO GALO ST.),RR,13000,
LOPEZ JAENA ST,GONZAGA ST. TO GALO ST.,RR,15600,BARANGAY: 27
,,CR,39000,
RIZAL ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
ALL OTHER STREETS,,RR,10400,
,,CR,29900,
DELA RAMA SUBD,LOPEZ JAENA ST. TO BMMC RD,RR,13000,
GONZAGA ST,MABINI ST. TO LOPEZ JAENA ST.,RR,15600,
GONZAGA ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
LOPEZ JAENA ST,LUZURIAGA ST. TO GONZAGA ST.,RR,23140,BARANGAY: 28
,,CR,39000,
LUZURIAGA ST,MABINI ST. TO LOPEZ JAENA ST.,RR,16900,
,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
MABINI ST,LUZURIAGA ST. TO GONZAGA ST.,RR,23400,
,,CR,46800,
DIMASALANG ROAD,LUZURIAGA ST. TO GONZAGA ST.,RR,20800,
GAMBOA ROAD,LUZURIAGA ST. TO GONZAGA ST.,RR,20800,
PARREÑO ROAD,LUZURIAGA ST. TO GONZAGA ST.,RR,20800,
ALL OTHER STREETS,,RR,7800,
,,CR,31200,
DELA RAMA SUBD,,RR,18850,
LACSON ST,MALALUSAN TO LUZURIAGA ST.,CR,85800,
LUZURIAGA ST,LACSON ST TO MABINI ST,RR,31200,
MABINI ST,MALALUSAN TO LUZURIAGA ST.,RR,37700,BARANGAY: 29
,,CR,52000,
MALALUSAN,DOÑA PROCESA ST. TO MABINI ST,RR,20800,
ALL OTHER STREETS,,RR,20800,
,,CR,46800,
LUZURIAGA ST,MABINI ST TO STA. ANA ST.,RR,17550,
MABINI ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,RR,23400,
,,CR,46800,BARANGAY: 30
MALALUSAN EXT,,RR,17550,
STA. ANA ST. (PILARTA ST.),SAN SEBASTIAN ST. TO LUZURIAGA ST.,RR,14950,
SAN SEBASTIAN ST,STA. ANA ST TO MABINI ST,RR,16900,
VERBENA ST,SAN SEBASTIAN ST. TO MALALUSAN,RR,17550,
DOÑA JULIANA ST.,SAN SEBASTIAN ST. TO MALALUSAN,RR,17550,
ALL OTHER STREETS,,RR,14950,
,,CR,39000,
HERNAEZ ST,MARGARITA ST. TO LUPIT RIVER,CR,39000,
LOPEZ JAENA ST,ROSARIO ST TO LUZURIAGA ST,CR,39000,
LUZURIAGA ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,BARANGAY: 31
,STA. ANA ST. TO LOPEZ JAENA ST.,RR,16900,
PERALTA ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,RR,14300,
POINSETIA ST,LOPEZ JAENA ST. TO SAN SEBASTIAN ST.,RR,20800,
,HERNAEZ ST TO LOPEZ JAENA,CR,#VALUE!,
SAN SEBASTIAN ST,POINSETIA ST TO STA. ANA ST.,RR,18850,
ALL OTHER STREETS,INTERIOR,RR,7800,
,,CR,27300,
NEW SAN SEBASTIAN SUBD,,CR,29900,
,,RR,19500,
ADELFA ST,ROSARIO ST TO MALALUSAN,RR,20800,
DOÑA MARIA ST,ROSARIO ST TO MALALUSAN,RR,20800,
DOÑA PROCESA ST,ROSARIO ST TO MALALUSAN,RR,20800,BARANGAY: 32
JASMIN ST,ROSARIO ST TO MALALUSAN,RR,20800,
LACSON ST (BDO),ROSARIO ST TO MALALUSAN,CR,85800,
LIRIO ST,ROSARIO ST TO MALALUSAN,RR,20800,
,,CR,65000,
MABINI ST,ROSARIO ST TO MALALUSAN,RR,23400,
,,CR,39000,
MALALUSAN ST,LACSON ST TO MABINI ST,RR,20800,
ROSARIO ST,LACSON ST TO MABINI ST,RR,31200,
SAN SEBASTIAN ST,LACSON ST TO MABINI ST,RR,31200,
ALL OTHER STREETS,,RR,15600,
,,CR,33800,
AMAPOLA ST,SAN SEBASTIAN ST. TO LOPEZ JAENA ST.,RR,26000,
DOÑA JULIANA,SAN SEBASTIAN ST. TO HERNAEZ ST.,RR,26000,
HERNAEZ ST,MABINI ST TO POINSETIA ST. (PREVIOUSLY. MABINI ST TO AMELIA AVE),CR,65000,BARANGAY: 33
,AMELIA ST TO MARGARITA,CR,#VALUE!,
LIRIO ST,ROSARIO ST TO SAN SEBASTIAN ST.,RR,20800,
