STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,Fair Value Estimate Lot,BARANGAY
,,A42,136.5,
,,A50,55.9,
Note: *New subdivision in this Barangay,,,0,
BARANGAY: UPPER TAVIRAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: MAYAPOSI,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: BALUNGAGAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: PUNTA TAYTAY,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
PUNTA TAYTAY PROPER (VILLAROSA),SACRED HEART MEM. PK – UNIMOLCO CMPD.,RR**,3900,
PUNTA TAYTAY,INTERIOR,RR,2600,
SACRED HEART MEMORIAL PARK,(INSTITUTIONAL),CR,6240,
UNIMOLCO COMPOUND,,RR,3900,
,,GP,1300,
BEACHES,SACRED HEART MEM. PK – UNIMOLCO CMPD.,CR *,6500,
ALL OTHER STREETS,,RR,2600,
,,CR,5200,
,,A6,104,
,,A42,130,
,***,A50,55.9,
Note: * New classification of land in this streets,,,0,
BARANGAY: NAIBA,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: ALL OTHER BARANGAYS,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: RECLAMATION AREA,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
RECLAMATION AREA,CIOCON CMPD TO BURGOS ST,CR *,31200,
,MAMBULOC CREEK TO RECLAMATION,CR *,31200,
,MAMBULOC CREEK TO RECLAMATION,RR *,6500,
,BURGOS ST. TO LUZURIAGA ST.,CR,35100,
,LUZURIAGA ST. TO SAN SEBASTIAN ST.,CR,28600,
,SAN SEBASTIAN TO RODRIGUEZ ST.,CR *,15600,
,INTERNATIONAL PORT,CR *,26000,
,,I *,26000,
ALL OTHER STREETS,,CR,9100,
,,I *,8840,
Note: * New classification of land in this Barangay,,,0,
BARANGAY: SINGCANG-AIRPORT ( PREVIOUSLY BRGY. SINGCANG),,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
OLD AIRPORT AREA,,GL *,31200,
OLD AIRPORT AREA,,CR *,31200,
AIRPORT SUBD,,RR,5200,
ARANETA ST,LUPIT BRIDGE TO MAGSAYSAY AVE (PREVIOUSLY LUPIT TO MAGSAYSAY AVE),CR,58500,
,MAGSAYSAY TO MAGSUNGAY RIVER BRIDGE (PREVIOUSLY MAGSAYSAY TO TANGUB BDRY),CR,52000,
,MAGSUNGAY RIVER BRIDGE TO TANGUB BDRY,CR *,45500,
AUREO SOL,,RR,3900,
CALONG-CALONG,,RR,3120,
,,CR *,5200,
,,I *,5200,
GREENPLAINS PHASE I & II,INTERIOR LOTS,RR,7800,
GREENPLAINS III,,RR *,7800,
,INSIDE SUBDIVISION,CR *,10400,
HENRIETTA VILLAGE,,RR,5200,
J. R. TORRES AVE,BACK LANDING FIELD,RR,#VALUE!,
,BACK SUGARLAND HOTEL,RR,#VALUE!,
,MAGSUNGAY TO DAALCO,RR,#VALUE!,
J.R. TORRES AVENUE,MAGSUNGAY RIVER BRIDGE TO GATE OF PALMAS DEL MAR (REVISED VICINITY),RR,5200,
BACK OF SUGARLAND HOTEL,TRANSFERRED VICINITY TO ST./SUBD.,RR,9100,
,,CR *,13000,
MAGSUNGAY PROPER,,RR *,2600,
KAHIRUP VILLAGE,,RR,5200,
LACSON ST,FROM LUPIT RIVER TO MAGSAYSAY AVENUE,CR *,52000,
LIROVILLE SUBD PHASE I,MAIN ROAD,RR,#VALUE!,
,SIDE ROAD,RR,#VALUE!,
LIROVILLE SUBD PHASE II,MAIN ROAD,RR,#VALUE!,
,SIDE ROAD,RR,#VALUE!,
LIROVILLE SUBD PHASE I,EXCEPT LOTS ALONG MAGSAYSAY AVE.,RR *,5850,
LIROVILLE SUBD PHASE II,EXCEPT LOTS ALONG MAGSAYSAY AVE.,RR *,6500,
LOPUE-S VILLAGE,,RR,3900,
BARANGAY: SINGCANG-AIRPORT ( PREVIOUSLY BRGY. SINGCANG),,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
MAGSAYSAY AVE,TACULING SCHOOL TO LACSON ST.(PREVIOUSLY TACULING SCH TO ARANETA ST.),CR,39000,
,LACSON ST TO ARANETA ST,CR,45500,
,ARANETA ST. TO J.R. TORRES ELEM. SCH.,RR,10400,
,ARANETA ST. TO SENORO ST.,CR *,39000,
NATIONAL ROAD,ARANETA ST. TO ALIJIS BDRY,RR,15600,
,,CR,26000,
SUNSET VILLAGE,OLD DUMPSITE (REVISED VICINITY),RR,3250,
VILLA SERVANDO,,RR,3900,
VILLA MERCEDES,,RR***,3250,
GOLDEN FIELD COMMERCIAL COMPLEX,EXCEPT ALONG ARANETA ST. (AFTER 30 METERS FROM LACSON ST.),CR *,41600,
ALL OTHER STREETS,,RR,3900,
,,CR,15600,
,,GP,1300,
,,A6,104,
,,A17,107.9,
,,A42,130,
,****,A50,58.5,
,Nene Martinez St. to Burgos St.,,0,
BARANGAY: BILIBOL,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: CABULIHAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: FATIMA,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: SUM-AG,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
A. VILLAROSA,SOLEDAD TO UNIMOLCO,RR,3900,
ABASTILLAS SUBD,,RR,2600,
ARANETA ST,SUM-AG RIVER TO CROSSING ABUANAN,CR,13000,
,,RR,7800,
,CROSSING ABUANAN TO PUNTA TAYTAY RD,RR,6500,
,CROSSING ABUANAN TO BACOLOD-BAGO BDRY,CR,7800,
,,RR,6500,
,PAHANOCOY BOUNDARY – SUM-AG RIVER,RR *,6500,
BACOLOD SOUTH HOMES,,RR *,6500,
LCC FRIENDSHIP HOMEOWNERS SUBD.,,RR *,5200,
PATRICIAN REALTY DEV-T. CORP. (SAN LUIS VILLAGE),,RR *,5200,
FIESTA HOMES,ALONG ARANETA ST,RR,6240,
,INTERIOR,RR,4160,
FLORES ST,ARANETA ST TO ROSARIO ST,RR,3900,
KAHIRUP VILLAGE,,RR,#VALUE!,
LOPEZ JAENA ST,ARANETA ST TO SOLEDAD,RR,3900,
PUNTA TAYTAY ROAD,ARANETA TO SWMP,RR,5200,
RIZAL ST,ARANETA TO SOLEDAD,RR,3900,
ROSARIO ST,FLORES ST TO SAN ROQUE,RR,3900,
SAN JUAN ST,ROSARIO ST TO SUM-AG HIGH SCHOOL,RR,5720,
SAN SEBASTIAN VILLAGE,,RR,3900,
SOLEDAD ST,A. VILLAROSA ST TO SAN JUAN ST.,RR,3900,
SOUTHSIDE,,RR *,3900,
VILLA RAMOS,,RR,#VALUE!,
VILLA MARIA,,RR,#VALUE!,
ALL OTHER STREETS,,RR,2600,
,,CR,5720,
,,GP,1300,
,,A6,104,
,,A17,107.9,
,,A42,152.1,
,,A50,52,
Note: * New subdivision in this Barangay,,,0,
BARANGAY: NAGSAHA,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: BUTIGAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: TACULING,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
C. RAMOS SUBD,,RR,7800,
CITY HEIGHTS PHASE I & II,,RR,7800,
DAALCO SUBD,,RR,7800,
DOÑA JULIANA HEIGHTS,EXCEPT LOTS ALONG HERNAEZ ST. EXT.,RR,7800,
ESPINOS VILLAGE SUBD,EXCEPT LOTS ALONG HERNAEZ ST. EXT.,RR,7800,
,EXCEPT LOTS ALONG CIRCUMFERENTIAL ROAD,RR,7800,
EUFEMIA COMP.,,RR,7800,
GARCES SUBD,,RR,3900,
GOLDEN RIVER,,RR,13000,
GOLDLAND VILL,,RR,5200,
GENSOLI SUBD (Gonsoli Subd),EXCEPT LOTS ALONG PLEASANTVILLE AVE.,RR,6500,
GUMABONG,,RR,3900,
HERNAEZ EXT,LUPIT TO BAKYAS,RR,13000,
,,CR,26000,
LAS PALMAS SUBD,,RR,5200,
NORTH CIRCUMFERENTIAL,BANGGA CORY TO LUPIT RIVER,RR,13000,
,,CR,19500,
PLEASANTVILLE AVE,HERNAEZ ST TO MAGSUNGAY,RR,9100,
,,CR *,13000,
PLEASANTVILLE SUBD,EXCEPT LOTS ALONG HERNAEZ ST. EXT.,RR,7800,
PUENTEBELLA SUBD,(EXCEPT LOTS ALONG HERNAEZ EXT.),CR,#VALUE!,
,,RR,6500,
PUROK BM,,RR *,2080,
RAMOS AVE,TACULING ELEM SCH. TO SANITARIUM HOSPITAL,RR,13000,
RIO VISTA,EXCEPT LOTS ALONG SO. CIRCUMFERENTIAL RD,RR,5200,
ROSARIO HEIGHTS PHASE I & II,,RR,5200,
ROSARIO HEIGHTS PHASE III,,RR,4680,
ROYAL PALMS SUBD,,RR,6500,
SHARINA HEIGHTS,,RR,7800,
SOUTH CIRCUMFERENTIAL,BANGGA CORY TO BAKYAS CREEK,RR,10400,
,,CR,15600,
ST FRANCIS SUBD,,RR,6500,
SUNTAL VILLAGE,,RR,7800,
TACULING PHASE I & II,,RR,7800,
TERES I,,RR *,5200,
TERES II,,RR *,5200,
VILLA CELIA SUBD,,RR,7800,
VILLA SOCORRO SUBD,EXCEPT LOTS ALONG HERNAEZ ST. EXT.,RR,7800,
TERES HOMES-QUABILT,,RR,4680,
ALL OTHER STREETS,,RR,2600,
,,CR,10400,
,,GP,1300,
Note: *New subdivision and land classification in this barangay,,,0,
BARANGAY: 50 – MACASANDIG SECTION 10,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: TANGUB,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
ARANETA ST,CALONG TO CABALAGNAN,RR,#VALUE!,
,,CR,#VALUE!,
ARANETA ST.,TANGUB BDRY. TO RAMYLU DRIVE,RR **,13000,
,,CR **,39000,
,RAMYLU DRIVE TO GARDENVILLE SUBD.,RR **,9100,
,,CR **,32500,
,GARDENVILLE TO CABALAGNAN,RR **,7800,
,,CR **,26000,
BACOLOD HOMES ROYALE,,RR **,5200,
BACOLOD BEL-AIR SUBD,LUZURIAGA PROPERTY,RR,4680,
BRGY. TANGUB PROPER,,RR,5200,
CARDINAL SUBD,EXCEPTS LOTS ALONG NATIONAL ROAD,RR,3900,
CHAPEL VILLAGE,,RR,4160,
,explain this (two RR with no vicinity),RR,5200,
CINDERELLA HOMES,AIRPORT SUBD.,RR,#VALUE!,
FLORENCEVILLE,,RR,4680,
GALA SUBD,,RR,2600,
GARDENVILLE PHASE I,EXCEPTS LOTS ALONG NATIONAL RD,RR,7280,
GOLF CLUB SUBD,,RR,#VALUE!,
JOPANDA SUBD,,RR,3250,
"LUISA MEDEL VILLAGE I, II, III",,RR,3250,
MANVILLE ROYALE,,RR,9360,
MEDEL ROADSIDE SUBD,,RR,3250,
PAG-ASA (RAGASA VILLE),,RR,3900,
PALMAS DEL MAR,,RR,9750,
PALMAS DEL MAR EXECUTIVE VILLAGE,,RR *,6500,
PAULINE VILLAGE,,RR,3900,
PAVER,,RR,2600,
RAMYLU PHASE I & II,,RR,3250,
RAMYLU PHASE III,,RR,3250,
ROJAS SUBD,,RR,3250,
SABRINA HOMES,,RR,3900,
SEAFRONT,BEACHFRONT (REVISED VICINITY),RR,3250,
SEASIDE VILLAGE,PRK. SEASIDE (REVISED VICINITY),RR,3250,
SERVANDO SUBD,,RR,3250,
ST. PETERS VILLAGE,,RR,3900,
ST. VINCENT VILLAGE,EXCEPT LOTS ALONG NATIONAL ROAD,RR,6500,
ST. BENILDE HOMES,,RR,3900,
SUNFLOWER SUBD,,RR,#VALUE!,
THE OROLAND,,RR *,5720,
TERRA NOVA,,RR *,5980,
VILLA CRISTINA,EXCEPT LOTS ALONG NATIONAL ROAD,RR,5200,
VILMED,,RR,2600,
WOODSTOCK QUEST COMPLEX,HOWARD,RR,2600,
AKINA VILLAGE,,RR *,7800,
AKINA RESIDENCES,,RR *,6500,
OUR LADY OF MT. CARMEL SUBD.,,RR *,4680,
SAN LORENZO HOMES,,RR *,4940,
"SAN LORENZO HOMES PH I,II & III",,RR *,4680,
BARANGAY: TANGUB (CONTINUATION),,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
ALL OTHER STREETS,,RR,3900,
,,CR,10400,
,INTERIOR,RR,2600,
,,GP,1300,
,,A6,104,
,,A17,107.9,
,,A42,152.1,
,****,A50,63.7,
MARICIVILLE SUBD.,,RR *,2600,
ST. BENILDE HOMES,,RR *,4160,
,NAT-L HIGHWAY (BOTHSIDES),,0,
BARANGAY: VILLANUEVA,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: C.P. GARCIA / CARLOS P. GARCIA,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: CANLABIAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: VILLAMONTE,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY PROPER,,RR *,10400,
,,CR *,13000,
CIRCUMFERENTIAL ROAD,LUPIT RIVER – BURGOS STREET,RR *,18200,
,,CR *,26000,
,BURGOS ST. – CABACAWAN CREEK,RR *,18200,
,,CR *,26000,
,CABACAWAN CREEK – SULOM CREEK,RR *,13000,
,,CR *,18200,
B S AQUINO DRIVE,LA SALLE AVENUE TO NARRA,RR *,20800,
,,CR *,39000,
,NARRA TO BURGOS ST.,RR *,16900,
,,CR *,31200,
BURGOS ST,LOPEZ JAENA ST TO HILADO ST,CR,52000,
,LOPEZ JAENA ST TO NORTH DRIVE (PREVIOUSLY LOPEZ JAENA ST. TO HELVETIA ST.),RR,26000,
,,CR *,39000,
,NORTH DRIVE TO HELVETIA HEIGHTS SUBD.,RR *,31200,
,,CR *,52000,
,HELVETIA HEIGHTS SUBD. TO BUENA PARK SUBD.,RR *,26000,
,,CR *,39000,
HILADO ST,BURGOS ST TO IPIL AVE,CR,52000,
,IPIL AVE TO NORTH DRIVE,RR,39000,
,,CR *,52000,
IPIL AVE,HILADO ST TO LOPEZ JAENA ST.,CR,39000,
LOPEZ JAENA ST,IPIL AVE TO BURGOS ST,CR,39000,
LA SALLE AVE.(FORMERLY LA SALLE SUBD.),MANDALAGAN RIVER TO SOLUM CREEK,RR,10400,
,,CR *,37700,
CL MONTELIBANO AVENUE,GREENSVILLE I TO CIRCUMFERENTIAL ROAD,RR *,11700,
,,CR *,15600,
,CIRCUMFERENTIAL ROAD TO LA SALLE AVENUE,RR *,11700,
,,CR *,15600,
LA SALLE DISTRICT,,RR *,20800,
MALASPINA ST,HILADO ST TO NORTH DRIVE,RR,15600,
,,CR *,20800,
NARRA AVE,HILADO ST TO CL MONTELIBANO ST. (PREVIUOSLY HILADO ST TO NORTH DRIVE),RR *,20800,
,,CR,36400,
,C.L. MONTELIBANO DRIVE TO HERVIAS (PREVIOUSLY MONTELIBANO HERVIAS),RR,16900,
NORTH DRIVE,IPIL ST TO BLK 23 AB,CR,#VALUE!,
,SUBD ROAD TO BLK 23 AB,RR,#VALUE!,
PHHC ROAD,BURGOS ST TO PHHC,RR,10400,
TINDALO AVE,HILADO ST TO LOPEZ JAENA ST.,CR,39000,
ALL OTHER STREETS,,RR,6500,
,,CR,20800,
,INTERIOR,RR,6500,
,,GP,1300,
,,A17,107.9,
,,A50,52,
BUENA PARK SUBD.,EXCEPT LOTS ALONG BURGOS ST.,RR *,7800,
CAPITOL HEIGHTS I,,RR,10400,
CAPITOL HEIGHTS II,,RR,10400,
CAPITOL HEIGHTS III,(EXCEPT LOTS ALONG BURGOS & PHHC ROAD),RR,7800,
BARANGAY VILLAMONTE (continuation),,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
CENTRAL SUBD. (FF. GONZAGA 1072),,RR *,7800,
CAPITOLVILLE I & II,,RR,26000,
GONZAGA SUBD,INT. LOTS EXCEPT LOTS ALONG BURGOS,RR,7800,
GREENSVILLE II,,RR,7800,
GREENSVILLE III,,RR,7800,
HELVETIA HEIGHTS (VILLAGE),EXCEPT LOTS ALONG BURGOS ST.,RR,9100,
,,CR *,13000,
HERVIAS SUBD,,RR,6500,
ISLA SUBD,,RR,2600,
PATRIA VILLAGE,,RR,7800,
ROYAL MEADOWS,,RR,8320,
STO. NIÑO VILLAGE,,RR,6500,
VILLA ANGELA PHASE I,,RR,7800,
VILLA RAMOS,LA SALLE DISTRICT,RR,5200,
VILLA RAMOS TOWNHOUSES,LA SALLE DISTRICT,RR,11700,
VILLA FE,,RR,5200,
YAKAL AVE,HILADO ST TO LOPEZ JAENA ST.,CR,39000,
YLAC AVE,BURGOS ST TO MANDALAGAN,RR,13780,
LAS VILLAS DE HERVIAS,,RR *,10400,
VILLA SAN AGUSTIN,,RR *,8970,
LILGONVILLE SUBD.,,RR *,7800,
HI-RESIDENCES,,RC *,104000,
,,CC *,124800,
,,PS *,58500,
,R. Diao Street and National Highway,,0,
BARANGAY: UPPER D-LAG,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY VISTA ALEGRE,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
ALL OTHER STREETS,,RR,2600,
,,GP,780,
,,A17,107.9,
,**,A50,58.5,
VISTA ALEGRE,ALONG MAIN ROAD,RR *,3900,
,,CR *,6500,
,,I *,7800,
,INTERIOR,RR *,1300,
VILLA ANGELA II,,RR,7800,
RIVERWALK SUBD.,,RR *,13000,
VICTORINA HEIGHTS SUBD.,,RR *,6240,
VILLA HOMES,,RR *,5200,
ABADA ESCAY,,RR *,2340,
JARMONT MEDIATRIX,,RR *,2600,
,Nene Martinez St. to Burgos St.,,0,
BARANGAY: 69 – LUMBIA SECTION 10 – 11,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
